Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Nov 29 2008,7:00 PM,Boston Celtics,89,Charlotte Bobcats,84,Box Score,,
Sat Nov 29 2008,7:30 PM,San Antonio Spurs,84,Houston Rockets,103,Box Score,,
Sat Nov 29 2008,7:30 PM,Miami Heat,96,Los Angeles Clippers,97,Box Score,,
Sat Nov 29 2008,7:00 PM,Oklahoma City Thunder,111,Memphis Grizzlies,103,Box Score,,
Sat Nov 29 2008,8:00 PM,Cleveland Cavaliers,97,Milwaukee Bucks,85,Box Score,,
Sat Nov 29 2008,7:00 PM,Denver Nuggets,106,Minnesota Timberwolves,97,Box Score,,
Sat Nov 29 2008,7:30 PM,Golden State Warriors,125,New York Knicks,138,Box Score,,
Sat Nov 29 2008,7:00 PM,Indiana Pacers,96,Orlando Magic,110,Box Score,,
Sat Nov 29 2008,7:00 PM,Dallas Mavericks,101,Sacramento Kings,78,Box Score,,
Sat Nov 29 2008,7:00 PM,New Jersey Nets,105,Utah Jazz,88,Box Score,,
Sat Nov 29 2008,7:00 PM,Atlanta Hawks,102,Washington Wizards,98,Box Score,,
Sun Nov 30 2008,6:00 PM,Houston Rockets,94,Denver Nuggets,104,Box Score,,
Sun Nov 30 2008,3:00 PM,Portland Trail Blazers,96,Detroit Pistons,85,Box Score,,
Sun Nov 30 2008,6:30 PM,Toronto Raptors,99,Los Angeles Lakers,112,Box Score,,
Sun Nov 30 2008,5:00 PM,Chicago Bulls,103,Philadelphia 76ers,92,Box Score,,
Sun Nov 30 2008,6:00 PM,New Jersey Nets,117,Phoenix Suns,109,Box Score,,
Mon Dec 1 2008,7:30 PM,Orlando Magic,88,Boston Celtics,107,Box Score,,
Mon Dec 1 2008,7:00 PM,Minnesota Timberwolves,90,Charlotte Bobcats,100,Box Score,,
Mon Dec 1 2008,7:30 PM,Miami Heat,130,Golden State Warriors,129,Box Score,OT,
Tue Dec 2 2008,7:30 PM,Philadelphia 76ers,103,Chicago Bulls,95,Box Score,OT,
Tue Dec 2 2008,7:30 PM,Los Angeles Clippers,98,Dallas Mavericks,100,Box Score,,
Tue Dec 2 2008,7:00 PM,Toronto Raptors,93,Denver Nuggets,132,Box Score,,
Tue Dec 2 2008,7:00 PM,Los Angeles Lakers,117,Indiana Pacers,118,Box Score,,
Tue Dec 2 2008,7:30 PM,Washington Wizards,108,New Jersey Nets,88,Box Score,,
Tue Dec 2 2008,7:30 PM,Portland Trail Blazers,104,New York Knicks,97,Box Score,,
Tue Dec 2 2008,7:00 PM,Utah Jazz,99,Sacramento Kings,94,Box Score,,
Tue Dec 2 2008,7:30 PM,Detroit Pistons,89,San Antonio Spurs,77,Box Score,,
Wed Dec 3 2008,7:00 PM,Memphis Grizzlies,95,Atlanta Hawks,105,Box Score,,
Wed Dec 3 2008,7:30 PM,Indiana Pacers,96,Boston Celtics,114,Box Score,,
Wed Dec 3 2008,7:00 PM,Oklahoma City Thunder,97,Charlotte Bobcats,103,Box Score,,
Wed Dec 3 2008,7:00 PM,New York Knicks,82,Cleveland Cavaliers,118,Box Score,,
Wed Dec 3 2008,7:30 PM,Los Angeles Clippers,96,Houston Rockets,103,Box Score,,
Wed Dec 3 2008,7:00 PM,Chicago Bulls,90,Milwaukee Bucks,97,Box Score,,
